WAVELENGTHS,AMPLITUDES_RED_BLUE,LEAF_TOP_SPD,LEAF_TOP_SPT,LEAF_BOTTOM_SPD,LEAF_BOTTOM_SPT,LEAF_BOTTOM_SPD,INTERNODE_SPT,FRUIT_RIPEN_SPD,FRUIT_RIPEN_SPT,FRUIT_UNRIPEN_SPD,FRUIT_UNRIPEN_SPT,TILE_SENSOR_TOP_SPD,TILE_SENSOR_TOP_SPT,TILE_SENSOR_BOTTOM_SPD,TILE_SENSOR_BOTTOM_SPT,CUBE_SPD,CUBE_SPT,CEILING SPD,CEILING SPT,FLOOR_SPD,FLOOR_SPT,WALL_SPD,WALL_SPT,,,CUBE_SPD,CUBE_SPT,CEILING SPD,CEILING SPT,FLOOR_SPD,FLOOR_SPT,WALL_SPD,WALL_SPT,,CUBE_SPD,CUBE_SPT,CEILING SPD,CEILING SPT,FLOOR_SPD,FLOOR_SPT,WALL_SPD,WALL_SPT
600,0.03623464,0.034642383,0.036282333,0.082950869,0.040559326,0.082950869,0,0.206998412,0,0.172214355,0,0,0,0,1,0.568105184,0,0.306548623,0,0.47988304,0,0.52442,0,,,0.71013148,0,0.383185779,0,0.5998538,0,0.655525,0,,0.568105184,0,0.306548623,0,0.47988304,0,0.52442,0
605,0.038520584,0.034002939,0.034553817,0.081640057,0.038505269,0.081640057,0,0.228724838,0,0.168846491,0,0,0,0,1,0.565582976,0,0.30500483,0,0.47822664,0,0.522286134,0,,,0.70697872,0,0.381256038,0,0.5977833,0,0.652857667,0,,0.565582976,0,0.30500483,0,0.47822664,0,0.522286134,0
610,0.043259879,0.033013583,0.031510667,0.079609851,0.035231394,0.079609851,0,0.250741322,0,0.164853863,0,0,0,0,1,0.563135712,0,0.303434413,0,0.476560586,0,0.52009208,0,,,0.70391964,0,0.379293016,0,0.595700733,0,0.6501151,0,,0.563135712,0,0.303434413,0,0.476560586,0,0.52009208,0
615,0.052366336,0.031986656,0.027972128,0.077268446,0.031324337,0.077268446,0,0.269381042,0,0.16320474,0,0,0,0,1,0.560968416,0,0.30200691,0,0.474609946,0,0.517941706,0,,,0.70121052,0,0.377508637,0,0.593262433,0,0.647427133,0,,0.560968416,0,0.30200691,0,0.474609946,0,0.517941706,0
620,0.06821946,0.03116065,0.024927167,0.075191406,0.027936297,0.075191406,0,0.282734674,0,0.16042428,0,0,0,0,1,0.558346592,0,0.300540954,0,0.473397626,0,0.515880694,0,,,0.69793324,0,0.375676193,0,0.591747033,0,0.644850867,0,,0.558346592,0,0.300540954,0,0.473397626,0,0.515880694,0
625,0.093912284,0.030746033,0.023237311,0.074018749,0.026050286,0.074018749,0,0.298828589,0,0.157128194,0,0,0,0,1,0.556012832,0,0.299281833,0,0.471745174,0,0.51366912,0,,,0.69501604,0,0.374102291,0,0.589681467,0,0.6420864,0,,0.556012832,0,0.299281833,0,0.471745174,0,0.51366912,0
630,0.134241399,0.030511883,0.022669283,0.073543057,0.02539116,0.073543057,0,0.306914594,0,0.153142844,0,0,0,0,1,0.5535544,0,0.298009209,0,0.469970666,0,0.51135728,0,,,0.691943,0,0.372511511,0,0.587463333,0,0.6391966,0,,0.5535544,0,0.298009209,0,0.469970666,0,0.51135728,0
635,0.197235951,0.030185861,0.021598456,0.07232476,0.024163754,0.07232476,0,0.313879073,0,0.148471815,0,0,0,0,1,0.551645952,0,0.296534051,0,0.468448854,0,0.509286666,0,,,0.68955744,0,0.370667564,0,0.585561067,0,0.636608333,0,,0.551645952,0,0.296534051,0,0.468448854,0,0.509286666,0
640,0.297338587,0.029589922,0.018330822,0.06950788,0.020540137,0.06950788,0,0.318765204,0,0.145043309,0,0,0,0,1,0.54935616,0,0.295580213,0,0.46705872,0,0.507325706,0,,,0.6866952,0,0.369475266,0,0.5838234,0,0.634157133,0,,0.54935616,0,0.295580213,0,0.46705872,0,0.507325706,0
645,0.451619119,0.028875439,0.0140122,0.065982103,0.015686371,0.065982103,0,0.320639854,0,0.1399125,0,0,0,0,1,0.547146848,0,0.294720141,0,0.465407174,0,0.505081946,0,,,0.68393356,0,0.368400176,0,0.581758967,0,0.631352433,0,,0.547146848,0,0.294720141,0,0.465407174,0,0.505081946,0
650,0.663702365,0.028591017,0.010553022,0.063277909,0.011827371,0.063277909,0,0.321970356,0,0.13266417,0,0,0,0,1,0.545492608,0,0.293639552,0,0.463904586,0,0.502883254,0,,,0.68186576,0,0.36704944,0,0.579880733,0,0.628604067,0,,0.545492608,0,0.293639552,0,0.463904586,0,0.502883254,0
655,0.891510248,0.028690628,0.0086342,0.06232424,0.009722629,0.06232424,0,0.322022801,0,0.124208897,0,0,0,0,1,0.54392768,0,0.292497982,0,0.462620294,0,0.50086544,0,,,0.6799096,0,0.365622478,0,0.578275367,0,0.6260818,0,,0.54392768,0,0.292497982,0,0.462620294,0,0.50086544,0
660,0.991436397,0.028961478,0.006760717,0.061284206,0.007631269,0.061284206,0,0.320821934,0,0.118176037,0,0,0,0,1,0.541396,0,0.291765666,0,0.461396026,0,0.498751226,0,,,0.676745,0,0.364707082,0,0.576745033,0,0.623439033,0,,0.541396,0,0.291765666,0,0.461396026,0,0.498751226,0
665,0.817289178,0.029799011,0.004510917,0.060296863,0.005149446,0.060296863,0,0.320241479,0,0.114177043,0,0,0,0,1,0.53916448,0,0.2906534,0,0.45958624,0,0.496410346,0,,,0.6739556,0,0.36331675,0,0.5744828,0,0.620512933,0,,0.53916448,0,0.2906534,0,0.45958624,0,0.496410346,0
670,0.479401543,0.031756172,0.003073544,0.061460297,0.003537371,0.061460297,0,0.319986069,0,0.109573506,0,0,0,0,1,0.53632048,0,0.289743106,0,0.458090934,0,0.494170986,0,,,0.6704006,0,0.362178883,0,0.572613667,0,0.617713733,0,,0.53632048,0,0.289743106,0,0.458090934,0,0.494170986,0
675,0.220033464,0.035035978,0.002465211,0.065673691,0.002883126,0.065673691,0,0.322577996,0,0.113334377,0,0,0,0,1,0.532977792,0,0.288553309,0,0.456227066,0,0.491644586,0,,,0.66622224,0,0.360691636,0,0.570283833,0,0.614555733,0,,0.532977792,0,0.288553309,0,0.456227066,0,0.491644586,0
680,0.09659712,0.039470689,0.002639139,0.072932891,0.0029524,0.072932891,0,0.325130665,0,0.129887066,0,0,0,0,1,0.529746784,0,0.287216039,0,0.454481706,0,0.489152134,0,,,0.66218348,0,0.359020049,0,0.568102133,0,0.611440167,0,,0.529746784,0,0.287216039,0,0.454481706,0,0.489152134,0
685,0.046352687,0.042327189,0.004360389,0.08026032,0.00472864,0.08026032,0,0.327862818,0,0.146510831,0,0,0,0,1,0.525838048,0,0.286139609,0,0.452577094,0,0.4870216,0,,,0.65729756,0,0.357674511,0,0.565721367,0,0.608777,0,,0.525838048,0,0.286139609,0,0.452577094,0,0.4870216,0
690,0.025894914,0.0417224,0.012234994,0.087033029,0.01345712,0.087033029,0,0.329912225,0,0.162317203,0,0,0,0,1,0.522898304,0,0.285168362,0,0.4508544,0,0.484218534,0,,,0.65362288,0,0.356460453,0,0.563568,0,0.605273167,0,,0.522898304,0,0.285168362,0,0.4508544,0,0.484218534,0
695,0.01749439,0.044315006,0.033854667,0.099567731,0.037976817,0.099567731,0,0.33364051,0,0.177145963,0,0,0,0,1,0.519703648,0,0.284198958,0,0.449008134,0,0.481939094,0,,,0.64962956,0,0.355248698,0,0.561260167,0,0.602423867,0,,0.519703648,0,0.284198958,0,0.449008134,0,0.481939094,0
700,0.014219869,0.053207704,0.061401537,0.114657952,0.068869933,0.114657952,0,0.336308151,0,0.198382955,0,0,0,0,1,0.51729024,0,0.284198958,0,0.449008134,0,0.481939094,0,,,0.6466128,0,0.355248698,0,0.561260167,0,0.602423867,0,,0.51729024,0,0.284198958,0,0.449008134,0,0.481939094,0
705,0,0,0,0,0,0,0,0.337067513,0,0.219530867,0,0,0,0,1,0.56,0,0,0,0.56,0,0.56,0,,,0.7,0,0,0,0.7,0,0.7,0,,0.56,0,0,0,0.56,0,0.56,0
710,0,0,0,0,0,0,0,0.336366628,0,0.239472649,0,0,0,0,1,0.56,0,0,0,0.56,0,0.56,0,,,0.7,0,0,0,0.7,0,0.7,0,,0.56,0,0,0,0.56,0,0.56,0
715,0,0,0,0,0,0,0,0.335050269,0,0.253942149,0,0,0,0,1,0.56,0,0,0,0.56,0,0.56,0,,,0.7,0,0,0,0.7,0,0.7,0,,0.56,0,0,0,0.56,0,0.56,0
720,0,0,0,0,0,0,0,0.333395647,0,0.266763322,0,0,0,0,1,0.56,0,0,0,0.56,0,0.56,0,,,0.7,0,0,0,0.7,0,0.7,0,,0.56,0,0,0,0.56,0,0.56,0
