day,plant_id,organ_class,rank,order,parent_rank,age_dd,dry_biomass_mg,area_m2,length,is_fruit,is_root,internode_width_m,leaf_length_petiole,leaf_diameter_petiole,leaf_angle_petiole,leaf_ccw_orientation,leaf_curvature,leaf_blades_nr,leaf_area_blades_total,leaf_rachis_length,fruit_nr,fruit_radius_0,fruit_radius_1,fruit_radius_2,fruit_age_dd_0,fruit_age_dd_1,fruit_age_dd_2,fruit_ripening_dd,fruit_truss_angle
7,6,Leaf,2,0,0,102.50256,50.84214854653991,0.0011916577346084219,0.0,false,false,0,0.022521237,0.0039950977,70.0,180.0,90.0,3,7.710941E-4,0.055019118,0,0,0,0,0,0,0,0,0
7,7,Leaf,0,0,0,402.5026,7.409380128131575,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,7,Leaf,0,0,0,402.5026,7.409380128131575,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,7,Leaf,1,0,0,102.50256,88.64339929073412,0.0017500659168673718,0.0,false,false,0,0.025830137,0.004460237,90.0,90.0,90.0,2,0.0014010282,0.031262904,0,0,0,0,0,0,0,0,0
7,7,Leaf,1,0,0,102.50256,88.64339929073412,0.0017500659168673718,0.0,false,false,0,0.025830137,0.004460237,90.0,270.0,90.0,2,0.0014010282,0.031262904,0,0,0,0,0,0,0,0,0
7,7,Leaf,2,0,0,102.50256,50.88398178076339,0.0011916685979349334,0.0,false,false,0,0.022521283,0.003995104,70.0,180.0,90.0,3,7.711032E-4,0.055019263,0,0,0,0,0,0,0,0,0
7,8,Leaf,0,0,0,402.5026,7.397499181548557,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,8,Leaf,0,0,0,402.5026,7.397499181548557,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,8,Leaf,1,0,0,102.50256,88.47802930962126,0.0017494710377955979,0.0,false,false,0,0.025828341,0.004459988,90.0,90.0,90.0,2,0.0014004724,0.031261615,0,0,0,0,0,0,0,0,0
7,8,Leaf,1,0,0,102.50256,88.47802930962126,0.0017494710377955979,0.0,false,false,0,0.025828341,0.004459988,90.0,270.0,90.0,2,0.0014004724,0.031261615,0,0,0,0,0,0,0,0,0
7,8,Leaf,2,0,0,102.50256,50.820947577033756,0.0011916411507051968,0.0,false,false,0,0.022521166,0.0039950875,70.0,180.0,90.0,3,7.710803E-4,0.0550189,0,0,0,0,0,0,0,0,0
7,9,Leaf,0,0,0,402.5026,7.409580429177881,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,180.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,9,Leaf,0,0,0,402.5026,7.409580429177881,1.9532719377323964E-4,0.0,false,false,0,0.0140959285,0.0027417946,90.0,0.0,90.0,1,1.3461884E-4,0.0,0,0,0,0,0,0,0,0,0
7,9,Leaf,1,0,0,102.50256,88.74125709540658,0.0017516518425302367,0.0,false,false,0,0.02583492,0.0044609006,90.0,90.0,90.0,2,0.0014025102,0.031266347,0,0,0,0,0,0,0,0,0
7,9,Leaf,1,0,0,102.50256,88.74125709540658,0.0017516518425302367,0.0,false,false,0,0.02583492,0.0044609006,90.0,270.0,90.0,2,0.0014025102,0.031266347,0,0,0,0,0,0,0,0,0
7,9,Leaf,2,0,0,102.50256,50.88927613789832,0.0011917419222016166,0.0,false,false,0,0.022521596,0.003995149,70.0,180.0,90.0,3,7.711643E-4,0.055020235,0,0,0,0,0,0,0,0,0
7,1,Internode,4,0,0,15.208825,0.9905081199916289,7.711573937202524E-5,0.0050611054,false,false,0.004850067421963676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,Internode,4,0,0,15.208825,0.9905081199916289,7.711573937202524E-5,0.0050611054,false,false,0.004850067421963676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,Internode,4,0,0,15.208825,0.9905081199916289,7.711573937202524E-5,0.0050611054,false,false,0.004850067421963676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
