Step,Time,X_Pos_m,Deflection_mm,Force_N
502,6.5587,0.000000,0.0000,0.104014
503,6.5709,0.000000,0.0000,0.104014
504,6.5832,0.000000,0.0000,0.104014
505,6.5960,0.000000,0.0000,0.104014
506,6.6091,0.000000,0.0000,0.104014
507,6.6212,0.000000,0.0000,0.104014
508,6.6343,0.000000,0.0000,0.104014
509,6.6467,0.000000,0.0000,0.104014
510,6.6592,0.000000,0.0000,0.104014
511,6.6716,0.000000,0.0000,0.104014
512,6.6846,0.000000,0.0000,0.104014
513,6.6969,0.000000,0.0000,0.104014
514,6.7095,0.000000,0.0000,0.104014
515,6.7220,0.000000,0.0000,0.104014
516,6.7351,0.000000,0.0000,0.104014
517,6.7478,0.000000,0.0000,0.104014
518,6.7605,0.000000,0.0000,0.104014
519,6.7741,0.000000,0.0000,0.104014
520,6.7867,0.000000,0.0000,0.104014
521,6.7994,0.000000,0.0000,0.104014
522,6.8126,0.000000,0.0000,0.104014
523,6.8255,0.000000,0.0000,0.104014
524,6.8380,0.000000,0.0000,0.104014
525,6.8512,0.000000,0.0000,0.104014
526,6.8636,0.000000,0.0000,0.104014
527,6.8761,0.000000,0.0000,0.104014
528,6.8888,0.000000,0.0000,0.104014
529,6.9019,0.000000,0.0000,0.104014
530,6.9155,0.000000,0.0000,0.104014
531,6.9276,0.000000,0.0000,0.104014
532,6.9409,0.000000,0.0000,0.104014
533,6.9547,0.000000,0.0000,0.104014
534,6.9671,0.000000,0.0000,0.104014
535,6.9801,0.000000,0.0000,0.104014
536,6.9922,0.000000,0.0000,0.104014
537,7.0042,0.000000,0.0000,0.104014
538,7.0169,0.000000,0.0000,0.104014
539,7.0301,0.000000,0.0000,0.104014
540,7.0425,0.000000,0.0000,0.104014
541,7.0543,0.000000,0.0000,0.104014
542,7.0667,0.000000,0.0000,0.104014
543,7.0795,0.000000,0.0000,0.104014
544,7.0919,0.000000,0.0000,0.104014
545,7.1046,0.000000,0.0000,0.104014
546,7.1170,0.000000,0.0000,0.104014
547,7.1301,0.000000,0.0000,0.104014
548,7.1431,0.000000,0.0000,0.104014
549,7.1556,0.000000,0.0000,0.104014
550,7.1683,0.000000,0.0000,0.104014
551,7.1821,0.000000,0.0000,0.104014
552,7.1943,0.000000,0.0000,0.104014
553,7.2075,0.000000,0.0000,0.104014
554,7.2199,0.000000,0.0000,0.104014
555,7.2329,0.000000,0.0000,0.104014
556,7.2458,0.000000,0.0000,0.104014
557,7.2587,0.000000,0.0000,0.104014
558,7.2713,0.000000,0.0000,0.104014
559,7.2836,0.000000,0.0000,0.104014
560,7.2958,0.000000,0.0000,0.104014
561,7.3081,0.000000,0.0000,0.104014
562,7.3204,0.000000,0.0000,0.104014
563,7.3327,0.000000,0.0000,0.104014
564,7.3456,0.000000,0.0000,0.104014
565,7.3586,0.000000,0.0000,0.104014
566,7.3712,0.000000,0.0000,0.104014
567,7.3836,0.000000,0.0000,0.104014
568,7.3964,0.000000,0.0000,0.104014
569,7.4094,0.000000,0.0000,0.104014
570,7.4214,0.000000,0.0000,0.104014
571,7.4341,0.000000,0.0000,0.104014
572,7.4477,0.000000,0.0000,0.104014
573,7.4604,0.000000,0.0000,0.104014
574,7.4734,0.000000,0.0000,0.104014
575,7.4852,0.000000,0.0000,0.104014
576,7.4977,0.000000,0.0000,0.104014
